Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Чубай,Зорян,Миколайович,male,2002-05-20,Письменник,селище Токмак,"провулок Трамвайний, буд. 7 кв. 12, Нова Каховка, 14726",+380 (30) 678-06-46,iakymenkohennadii@example.net
Мазур,Ілля,Дмитрович,male,1989-01-27,Льотчик,місто Кадіївка,"шосе Овідіопольська, буд. 065 кв. 3, Павлоград, 79615",049 508 88 65,khomasvystun@example.net
Корпанюк,Анастасія,Василівна,female,1951-05-14,Маркетолог,хутір Богуслав,"парк Берегова, буд. 93, Славутич, 92741",008 175-16-15,dankoliubov@example.net
Чумак,Франц,Дмитрович,male,2007-12-31,Гірник,село Нікополь,"вулиця Кредитний, буд. 2, Українка, 91800",092 039 46 27,frants80@example.net
Юрчишина,Емілія,Володимирівна,female,1984-09-23,Ботанік,хутір Ізяслав,"площа Балтський 4-й, буд. 615 кв. 961, Вишгород, 68693",375-17-62,ieroshenkoieva@example.com
Рудько,Данило,Леонідович,male,2005-09-07,Психолог,місто Саки,"провулок Леоніда Осики, буд. 65 кв. 604, Соледар, 34890",061 079 79 72,vzaporozhets@example.com
Атрощенко,Ростислав,Євгенович,male,1980-12-28,Перекладач,хутір Новоселиця,"проспект Романтиків, буд. 604 кв. 90, Бахмач, 51244",655-59-02,zorianiaremchuk@example.com
Бабʼяк,Ігнат,Ігоревич,male,1969-03-07,Маркетолог,селище Прип'ять,"набережна Технічний, буд. 73, Кам'янка-Бузька, 45881",+380 46 075-74-51,jkabanenko@example.org
Семенченко,Устим,Тарасович,male,1942-06-03,Фермер,село Миргород,"сквер Лінійний, буд. 634 кв. 61, Калинівка, 83218",+380 79 489-58-79,wkorbut@example.net
Єщенко,Софія,Русланівна,female,1992-03-16,Шериф,село Корсунь-Шевченківський,"узвіз Хлібна гавань, буд. 90 кв. 6, Вишгород, 05945",+380 76 331-92-56,varvarababak@example.com
Сомко,Маруся,Анатоліївна,female,1958-01-03,Продюсер,хутір Жданівка,"вулиця Овідіопольський, буд. 60 кв. 639, Бобринець, 18613",947-39-21,ihorverkhola@example.net
Архимович,Арсен,Федорович,male,1998-04-15,Соціолог,селище Сіверськ,"сквер Городня, буд. 4, Гірське, 17008",+380 77 963-95-05,arsen86@example.org
Демʼянчук,Данило,Артемович,male,1994-08-02,Геолог,хутір Корсунь-Шевченківський,"проспект Інглезі, буд. 66, Севастополь, 75548",+380 50 905 21 18,ustenkoroman@example.com
Вдовиченко,Єлисавета,Ярославівна,female,1975-04-06,Астрофізик,хутір Узин,"набережна Баштанна, буд. 6, Корсунь-Шевченківський, 10586",059 535 31 70,dzyndrasolomiia@example.net
Артим,Гаврило,Ульянович,male,1946-09-02,Фольклорист,село Краматорськ,"узвіз Солонцюватий, буд. 08, Українка, 06622",+380 (22) 173-75-79,solomiia13@example.com
Забашта,Августин,Олександрович,male,1949-02-11,Громадський діяч,хутір Кремінна,"шосе Сімферопольська, буд. 841, Хмільник, 06425",042 755 66 70,borys20@example.com
Чекалюк,Онисим,Володимирович,male,1967-07-29,Круп'є,село Нововолинськ,"площа Нерубайська, буд. 2, Ківерці, 44056",099 456-28-71,oleksa22@example.com
Тарасенко,Леон,Федорович,male,1939-08-19,Клавішник,селище Івано-Франківськ,"сквер Агрономічний, буд. 71 кв. 88, Радивилів, 24309",043 933 94 69,ehaidenko@example.org
Рудько,Альбіна,Зіновіївна,female,1965-07-22,Будник,село Новомиргород,"парк Аеропортівський 4-й, буд. 778, Козятин, 55443",053 893 38 57,kzhuravel@example.com
Даниленко,Захар,Зіновійович,male,1956-04-21,Геолог,село Горішні Плавні,"узвіз Садовий, буд. 12 кв. 5, Володимир-Волинський, 77938",+380 (12) 708-29-67,demianenkoorkhyp@example.org
Пелех,Альберт,Артемович,male,1961-10-29,Промисловець,місто Вінниця,"узвіз Гетьмана Сагайдачного, буд. 4 кв. 47, Очаків, 04495",+380 20 304-46-70,dhrechanyk@example.com
Запорожець,Данна,Сергіївна,female,1946-09-12,Геофізик,місто Богодухів,"парк Лінія 55-та, буд. 60 кв. 60, Тлумач, 14951",644 06 08,liza46@example.org
Тарасенко,Арсен,Петрович,male,1963-10-02,Драматург,село Ніжин,"площа Саймона Літмана, буд. 03 кв. 449, Бердичів, 62004",+380 23 421-14-80,rozaliiaveres@example.org
Рева,Веніямин,Ярославович,male,1968-08-11,Кур'єр,селище Болехів,"сквер Заводська 5-та, буд. 23 кв. 8, Ковель, 63224",+380 11 046 01 88,onyshchenkozynovii@example.net
Жученко,Марʼяна,Зіновіївна,female,1945-07-31,Астрофізик,село Моспине,"сквер Теплична, буд. 696 кв. 123, Нове Давидково, 47417",+380 48 774-82-78,edyta58@example.net
Ярош,Тарас,Євгенович,male,1999-06-29,Державний службовець,місто Сарни,"узвіз Куниці, буд. 21 кв. 44, Ананьїв, 05793",+380 80 493-99-71,kovcharenko@example.com
Єфименко,Михайлина,Миколаївна,female,1958-06-24,Пекар,місто Кальміуське,"сквер Лінія 26-та, буд. 219 кв. 43, Очаків, 34989",067 796-27-24,iakovenkoalla@example.org
Джунь,Клавдія,Олександрівна,female,1939-07-04,Дипломат,хутір Бердичів,"площа Отамана Головатого, буд. 207 кв. 100, Гуляйполе, 67486",+380 (49) 772-68-02,qieromenko@example.com
Чуйко,Віолетта,Анатоліївна,female,1972-05-06,Бухгалтер,хутір Пологи,"узвіз Краснова, буд. 14, Лебедин, 48612",+380 01 280-58-15,xprotsenko@example.org
Хомик,Маруся,Борисівна,female,1977-11-26,Кінорежисер,місто Ковель,"сквер Грузинська, буд. 73 кв. 958, Угнів, 50107",036 166 85 07,fiukhymenko@example.net
Тесленко,Амалія,Анатоліївна,female,1958-04-13,Сантехнік,село Таврійськ,"набережна Лазурний 5-й, буд. 554 кв. 4, Кипуче, 50831",+380 40 314-51-43,hvernyhora@example.net
Дробʼязко,Ліза,Володимирівна,female,1982-04-19,Археолог,село Корець,"провулок Михайла Грушевського, буд. 37, Іллінці, 27795",027 248 83 62,vanchenkoliza@example.org
Носенко,Соломія,Василівна,female,1991-03-06,Каскадер,селище Добропілля,"вулиця Рєпіна, буд. 9 кв. 24, Красногорівка, 64676",082 731 31 77,priskadatsenko@example.com
Романець,Симон,Євгенович,male,1939-09-12,Сценарист,хутір Жмеринка,"набережна Василя Симоненка, буд. 78, Ізюм, 95519",154 20 72,lesilienko@example.net
Базилевський,Оксана,Зіновіївна,female,1960-03-30,Літературознавець,селище Славута,"площа Добровольців, буд. 9, Малин, 34674",083 581 51 91,fhaidenko@example.org
Ющенко,Альбіна,Зіновіївна,female,1986-03-17,Няня,селище Бар,"сквер Лінія 28-ма, буд. 79, Полонне, 38326",+380 49 746-19-43,adamchukvarfolomii@example.org
Єресько,Георгій,Геннадійович,male,1967-01-13,Нотаріус,місто Лиман,"вулиця Восьмого березня 2-й, буд. 38, Петрово-Красносілля, 83661",+380 25 453 41 20,glupii@example.com
Венгринович,Вадим,Борисович,male,1950-12-22,Кінорежисер,хутір Берислав,"узвіз Херсонський, буд. 4 кв. 738, Немирів, 39884",083 031-19-57,androshchukihor@example.org
Бандера,Богуслава,Петрівна,female,1980-10-07,Детектив,селище Остер,"провулок Листяна, буд. 2 кв. 2, Часів Яр, 11224",+380 16 548-54-15,zinkevychbohdan@example.org
Колодуб,Лілія,Федорівна,female,1991-11-03,Пекар,місто Прип'ять,"набережна Керченський 2-й, буд. 46, Христинівка, 59948",+380 89 853-21-96,hryhorii31@example.net
Корпанюк,Руслан,Артемович,male,1946-03-05,Бухгалтер,село Шахтарськ,"площа Ромський, буд. 7 кв. 8, Баранівка, 15874",+380 42 922-77-83,liliiahuzii@example.org
Арсенич,Орися,Анатоліївна,female,1963-07-05,Мистецтвознавець,хутір Глиняни,"провулок Заможна, буд. 47, Феодосія, 69084",+380 (64) 510-48-99,kdrozd@example.org
